Aasta,Sugu,Maakond,Rahvused kokku,Eestlased,Muud rahvused,Venelased,Ukrainlased,Valgevenelased,Soomlased,Tatarlased,Lätlased,Poolakad,Juudid,Leedulased,Sakslased,Armeenlased,Aserbaidžaanid,Rahvus teadmata
2021,Mehed,Järva maakond,14561,13727,810,330,220,26,100,1,16,12,2,4,16,11,2,24
2021,Mehed,Lääne maakond,9744,8656,1047,727,79,26,44,7,15,4,2,15,24,0,1,41
2021,Mehed,Lääne-Viru maakond,28393,24913,3439,2458,354,88,192,4,40,16,8,34,29,14,22,41
2021,Mehed,Põlva maakond,12245,11693,540,360,70,5,30,0,14,3,1,1,15,1,3,12
2021,Mehed,Pärnu maakond,40708,36324,4286,2625,613,113,309,19,127,20,7,40,56,27,10,98
2021,Mehed,Rapla maakond,16487,15505,950,534,128,49,75,3,22,3,1,7,22,4,6,32
2021,Mehed,Saare maakond,16315,15941,362,94,52,5,95,0,4,6,0,5,22,0,0,12
2021,Mehed,Tartu maakond,72603,61185,11311,7692,729,144,428,38,178,47,60,72,190,69,83,107
2021,Mehed,Valga maakond,13707,11070,2575,1607,226,67,47,6,373,11,8,12,30,6,2,62
2021,Mehed,Viljandi maakond,22276,21281,962,466,150,25,114,2,41,5,5,9,21,5,1,33
2021,Mehed,Võru maakond,17220,16362,832,563,72,15,30,0,45,6,4,2,13,3,1,26
2021,Mehed,Maakond teadmata,2361,343,380,167,67,7,32,1,27,3,5,7,5,0,1,1638
2021,Naised,Kogu Eesti,699153,480225,216880,176931,13094,6567,4177,1061,1654,974,888,1043,1196,703,529,2048
2021,Naised,Harju maakond,324521,197028,126251,101305,8610,4088,1772,713,771,594,762,689,627,523,418,1242
2021,Naised,Hiiu maakond,4578,4505,71,35,6,1,7,0,5,1,1,0,6,0,0,2
2021,Naised,Ida-Viru maakond,71128,11840,59259,53505,1851,1639,591,230,125,180,49,120,168,81,40,29
2021,Naised,Jõgeva maakond,14369,13050,1315,1060,98,31,54,8,12,2,0,8,7,2,1,4
2021,Naised,Järva maakond,15256,14471,780,394,164,21,96,1,15,10,1,6,11,3,6,5
2021,Naised,Lääne maakond,10541,9316,1201,886,117,52,44,13,12,4,2,11,7,0,0,24
2021,Naised,Lääne-Viru maakond,30009,26051,3945,2931,374,133,231,16,27,21,3,32,24,8,7,13
2021,Naised,Põlva maakond,12228,11646,580,424,63,8,24,5,9,2,1,3,7,0,1,2
2021,Naised,Pärnu maakond,45052,40390,4634,3222,531,134,226,26,107,32,13,38,71,16,3,28
2021,Naised,Rapla maakond,16629,15685,936,564,103,42,90,6,12,4,2,9,27,2,9,8
2021,Naised,Saare maakond,16717,16401,308,132,30,8,55,2,12,5,2,9,13,0,1,8
2021,Naised,Tartu maakond,81309,68794,12451,9084,696,243,704,24,151,84,48,69,171,51,43,64
2021,Naised,Valga maakond,14255,11379,2847,1943,230,104,39,7,315,10,0,19,24,10,0,29
2021,Naised,Viljandi maakond,23601,22514,1081,625,137,36,119,7,38,17,1,22,16,5,0,6
2021,Naised,Võru maakond,17678,16748,921,699,62,21,35,1,26,6,0,7,13,1,0,9
2021,Naised,Maakond teadmata,1282,407,300,122,22,6,90,2,17,2,3,1,4,1,0,575
2022,Mehed ja naised,Kogu Eesti,1331796,919693,405391,315242,27826,11605,8543,1938,3827,1845,1852,2097,2701,1666,1546,6712
2022,Mehed ja naised,Harju maakond,614561,372243,237348,178165,18884,7472,4226,1306,1812,1148,1572,1386,1473,1218,1177,4970
2022,Mehed ja naised,Hiiu maakond,8497,8330,158,55,16,6,19,0,8,0,2,0,6,1,0,9
2022,Mehed ja naised,Ida-Viru maakond,132736,24489,108056,97227,3265,2720,1065,433,288,338,115,263,345,188,119,191
2022,Mehed ja naised,Jõgeva maakond,27857,25314,2461,1906,184,53,121,11,36,2,1,17,24,11,0,82
2022,Mehed ja naised,Järva maakond,29693,27998,1593,706,413,47,188,3,32,19,3,11,32,11,8,102
2022,Mehed ja naised,Lääne maakond,20227,17904,2256,1611,199,76,93,19,27,8,5,30,29,1,0,67
2022,Mehed ja naised,Lääne-Viru maakond,58709,51028,7509,5385,818,230,416,24,74,46,10,66,54,21,29,172
2022,Mehed ja naised,Põlva maakond,23989,22814,1134,795,133,11,62,3,23,3,1,4,23,1,4,41
2022,Mehed ja naised,Pärnu maakond,85705,76538,8959,5751,1171,247,555,46,239,51,19,81,136,40,11,208
2022,Mehed ja naised,Rapla maakond,33529,31507,1936,1095,247,84,159,9,46,14,4,13,54,9,16,86
2022,Mehed ja naised,Saare maakond,31292,30584,664,211,84,10,140,3,17,11,2,19,35,0,2,44
2022,Mehed ja naised,Tartu maakond,157758,133416,23978,16491,1507,377,1121,56,326,155,102,137,360,130,173,364
2022,Mehed ja naised,Valga maakond,27650,22009,5497,3516,451,174,84,15,762,18,9,34,51,22,4,144
2022,Mehed ja naised,Viljandi maakond,45411,43211,2116,1110,315,65,231,8,67,20,3,27,41,10,2,84
2022,Mehed ja naised,Võru maakond,34182,32308,1726,1218,139,33,63,2,70,12,4,9,38,3,1,148
2022,Mehed ja naised,Maakond teadmata,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,Mehed,Kogu Eesti,633415,437652,190753,142324,14478,4981,4401,880,2066,827,985,1039,1504,922,971,5010
2022,Mehed,Harju maakond,292048,174912,113382,80489,10125,3353,2400,611,959,532,820,692,845,662,726,3754
2022,Mehed,Hiiu maakond,4162,4065,89,23,11,5,13,0,3,0,1,0,3,1,0,8
2022,Mehed,Ida-Viru maakond,61056,12123,48780,43856,1407,1055,481,186,155,139,74,139,184,105,78,153
2022,Mehed,Jõgeva maakond,13369,12155,1153,870,84,21,64,3,18,1,1,9,17,8,0,61
2022,Mehed,Järva maakond,14287,13405,798,310,232,26,97,1,19,9,2,4,18,8,2,84
2022,Mehed,Lääne maakond,9566,8489,1032,703,82,25,49,6,15,4,2,17,23,1,0,45
2022,Mehed,Lääne-Viru maakond,28221,24619,3463,2422,404,87,184,7,49,21,7,34,29,11,22,139
2022,Mehed,Põlva maakond,11705,11130,544,363,69,3,34,0,16,1,1,1,16,1,3,31
2022,Mehed,Pärnu maakond,40436,36020,4266,2523,626,113,322,20,128,23,8,43,61,25,9,150
2022,Mehed,Rapla maakond,16392,15386,944,506,131,44,73,4,29,8,1,7,23,6,6,62
2022,Mehed,Saare maakond,15001,14613,359,86,54,3,88,1,4,6,0,5,20,0,1,29
2022,Mehed,Tartu maakond,75476,63709,11497,7586,777,138,417,32,173,64,55,64,195,76,117,270
2022,Mehed,Valga maakond,13359,10642,2624,1586,225,72,38,7,424,8,8,14,28,9,4,93
2022,Mehed,Viljandi maakond,21784,20709,1016,474,173,24,111,2,30,5,2,8,25,6,2,59
2022,Mehed,Võru maakond,16553,15675,806,527,78,12,30,0,44,6,3,2,17,3,1,72
2022,Mehed,Maakond teadmata,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,Naised,Kogu Eesti,698381,482041,214638,172918,13348,6624,4142,1058,1761,1018,867,1058,1197,744,575,1702
2022,Naised,Harju maakond,322513,197331,123966,97676,8759,4119,1826,695,853,616,752,694,628,556,451,1216
2022,Naised,Hiiu maakond,4335,4265,69,32,5,1,6,0,5,0,1,0,3,0,0,1
2022,Naised,Ida-Viru maakond,71680,12366,59276,53371,1858,1665,584,247,133,199,41,124,161,83,41,38
2022,Naised,Jõgeva maakond,14488,13159,1308,1036,100,32,57,8,18,1,0,8,7,3,0,21
2022,Naised,Järva maakond,15406,14593,795,396,181,21,91,2,13,10,1,7,14,3,6,18
2022,Naised,Lääne maakond,10661,9415,1224,908,117,51,44,13,12,4,3,13,6,0,0,22
2022,Naised,Lääne-Viru maakond,30488,26409,4046,2963,414,143,232,17,25,25,3,32,25,10,7,33
2022,Naised,Põlva maakond,12284,11684,590,432,64,8,28,3,7,2,0,3,7,0,1,10
2022,Naised,Pärnu maakond,45269,40518,4693,3228,545,134,233,26,111,28,11,38,75,15,2,58
2022,Naised,Rapla maakond,17137,16121,992,589,116,40,86,5,17,6,3,6,31,3,10,24
2022,Naised,Saare maakond,16291,15971,305,125,30,7,52,2,13,5,2,14,15,0,1,15
2022,Naised,Tartu maakond,82282,69707,12481,8905,730,239,704,24,153,91,47,73,165,54,56,94
2022,Naised,Valga maakond,14291,11367,2873,1930,226,102,46,8,338,10,1,20,23,13,0,51
2022,Naised,Viljandi maakond,23627,22502,1100,636,142,41,120,6,37,15,1,19,16,4,0,25
2022,Naised,Võru maakond,17629,16633,920,691,61,21,33,2,26,6,1,7,21,0,0,76
2022,Naised,Maakond teadmata,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,Mehed ja naised,Kogu Eesti,1365884,925892,429214,306801,55675,11562,8518,1984,4094,1915,1939,2146,2900,1755,1688,10778
2023,Mehed ja naised,Harju maakond,638076,378604,252411,173526,34832,7540,4321,1329,1975,1182,1647,1426,1590,1302,1332,7061
2023,Mehed ja naised,Hiiu maakond,8474,8279,182,48,46,6,20,0,7,2,2,0,6,1,0,13
2023,Mehed ja naised,Ida-Viru maakond,133358,25119,107944,94835,5451,2626,1025,441,302,345,130,277,368,192,116,295
2023,Mehed ja naised,Jõgeva maakond,27739,24798,2804,1834,606,55,111,11,35,3,2,17,21,9,0,137
2023,Mehed ja naised,Järva maakond,30072,27768,2088,693,916,45,183,4,32,18,2,11,31,11,7,216
2023,Mehed ja naised,Lääne maakond,20688,17930,2580,1521,603,73,88,18,28,8,4,31,33,1,0,178
2023,Mehed ja naised,Lääne-Viru maakond,59608,50721,8318,5197,1812,232,404,25,73,42,11,66,56,19,29,569
2023,Mehed ja naised,Põlva maakond,24036,22595,1378,783,380,10,55,8,24,4,1,3,25,1,4,63
2023,Mehed ja naised,Pärnu maakond,87418,76319,10410,5526,2764,238,535,49,258,75,20,80,146,46,14,689
2023,Mehed ja naised,Rapla maakond,34038,31540,2289,1072,619,82,143,10,47,12,4,15,53,10,18,209
2023,Mehed ja naised,Saare maakond,31919,30490,1152,204,532,10,147,3,16,12,2,14,47,0,2,277
2023,Mehed ja naised,Tartu maakond,162390,135036,26769,15887,4571,385,1123,62,343,166,98,141,384,131,159,585
2023,Mehed ja naised,Valga maakond,28114,21909,6051,3413,1067,165,81,15,802,18,8,28,60,19,4,154
2023,Mehed ja naised,Viljandi maakond,45637,42842,2650,1092,861,62,220,7,70,16,4,29,40,11,2,145
2023,Mehed ja naised,Võru maakond,34317,31942,2188,1170,615,33,62,2,82,12,4,8,40,2,1,187
2023,Mehed ja naised,Maakond teadmata,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,Mehed,Kogu Eesti,647366,441055,199462,138306,24578,4984,4407,914,2247,873,1038,1064,1623,955,1067,6849
2023,Mehed,Harju maakond,301986,178296,119076,78295,15825,3409,2468,631,1069,549,868,708,908,692,835,4614
2023,Mehed,Hiiu maakond,4136,4025,100,20,28,5,13,0,2,1,1,0,3,1,0,11
2023,Mehed,Ida-Viru maakond,61287,12455,48610,42751,2254,1007,471,192,164,142,83,152,205,106,73,222
2023,Mehed,Jõgeva maakond,13228,11883,1256,824,239,20,60,3,19,1,2,9,15,7,0,89
2023,Mehed,Järva maakond,14397,13276,977,303,411,27,94,2,18,8,1,5,17,8,2,144
2023,Mehed,Lääne maakond,9721,8503,1130,651,225,24,46,5,14,4,1,17,26,1,0,88
2023,Mehed,Lääne-Viru maakond,28503,24483,3713,2313,761,86,181,7,48,20,8,34,32,10,22,307
2023,Mehed,Põlva maakond,11699,11028,624,360,142,3,32,4,17,2,1,1,17,1,3,47
2023,Mehed,Pärnu maakond,41083,35954,4792,2402,1206,102,313,22,144,42,8,43,70,28,12,337
2023,Mehed,Rapla maakond,16580,15370,1083,504,267,42,65,4,31,8,1,7,22,5,7,127
2023,Mehed,Saare maakond,15224,14564,543,81,208,3,94,1,5,7,0,3,26,0,1,117
2023,Mehed,Tartu maakond,77505,64534,12520,7283,1936,148,403,35,179,71,51,62,209,80,105,451
2023,Mehed,Valga maakond,13549,10589,2858,1538,472,70,38,7,451,8,7,10,30,8,4,102
2023,Mehed,Viljandi maakond,21841,20533,1213,469,381,24,97,1,31,4,3,11,23,6,2,95
2023,Mehed,Võru maakond,16627,15562,967,512,223,14,32,0,55,6,3,2,20,2,1,98
2023,Mehed,Maakond teadmata,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,Naised,Kogu Eesti,718518,484837,229752,168495,31097,6578,4111,1070,1847,1042,901,1082,1277,800,621,3929
2023,Naised,Harju maakond,336090,200308,133335,95231,19007,4131,1853,698,906,633,779,718,682,610,497,2447
2023,Naised,Hiiu maakond,4338,4254,82,28,18,1,7,0,5,1,1,0,3,0,0,2
2023,Naised,Ida-Viru maakond,72071,12664,59334,52084,3197,1619,554,249,138,203,47,125,163,86,43,73
2023,Naised,Jõgeva maakond,14511,12915,1548,1010,367,35,51,8,16,2,0,8,6,2,0,48
2023,Naised,Järva maakond,15675,14492,1111,390,505,18,89,2,14,10,1,6,14,3,5,72
2023,Naised,Lääne maakond,10967,9427,1450,870,378,49,42,13,14,4,3,14,7,0,0,90
2023,Naised,Lääne-Viru maakond,31105,26238,4605,2884,1051,146,223,18,25,22,3,32,24,9,7,262
2023,Naised,Põlva maakond,12337,11567,754,423,238,7,23,4,7,2,0,2,8,0,1,16
2023,Naised,Pärnu maakond,46335,40365,5618,3124,1558,136,222,27,114,33,12,37,76,18,2,352
2023,Naised,Rapla maakond,17458,16170,1206,568,352,40,78,6,16,4,3,8,31,5,11,82
2023,Naised,Saare maakond,16695,15926,609,123,324,7,53,2,11,5,2,11,21,0,1,160
2023,Naised,Tartu maakond,84885,70502,14249,8604,2635,237,720,27,164,95,47,79,175,51,54,134
2023,Naised,Valga maakond,14565,11320,3193,1875,595,95,43,8,351,10,1,18,30,11,0,52
2023,Naised,Viljandi maakond,23796,22309,1437,623,480,38,123,6,39,12,1,18,17,5,0,50
2023,Naised,Võru maakond,17690,16380,1221,658,392,19,30,2,27,6,1,6,20,0,0,89
2023,Naised,Maakond teadmata,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024,Mehed ja naised,Kogu Eesti,1374687,931993,434014,296268,68770,11402,8344,2022,4232,1882,2013,2146,2923,1804,1775,8680
2024,Mehed ja naised,Harju maakond,646315,384371,256403,167544,42709,7494,4307,1347,2059,1146,1708,1416,1574,1341,1414,5541
2024,Mehed ja naised,Hiiu maakond,8418,8217,193,45,57,5,17,0,7,3,1,1,5,1,1,8
2024,Mehed ja naised,Ida-Viru maakond,132286,25845,106160,92090,6350,2545,1004,452,321,343,142,285,386,195,116,281
2024,Mehed ja naised,Jõgeva maakond,27397,24434,2865,1728,760,54,103,12,33,3,4,15,26,12,1,98
2024,Mehed ja naised,Järva maakond,30084,27619,2311,655,1186,43,182,5,29,16,2,10,25,12,6,154
2024,Mehed ja naised,Lääne maakond,20625,17866,2595,1445,696,70,90,21,29,7,2,28,33,1,1,164
2024,Mehed ja naised,Lääne-Viru maakond,59536,50513,8648,4951,2380,220,385,23,76,45,11,64,55,19,28,375
2024,Mehed ja naised,Põlva maakond,23892,22396,1445,776,464,9,50,9,24,3,0,5,25,2,4,51
2024,Mehed ja naised,Pärnu maakond,87891,76380,10961,5331,3525,236,489,48,254,78,21,75,146,44,13,550
2024,Mehed ja naised,Rapla maakond,34246,31564,2507,1051,855,79,131,13,47,14,5,16,53,12,19,175
2024,Mehed ja naised,Saare maakond,32021,30479,1260,190,671,11,144,4,15,12,2,12,50,0,2,282
2024,Mehed ja naised,Tartu maakond,164460,136405,27533,15059,6073,381,1089,64,350,164,96,153,407,136,159,522
2024,Mehed ja naised,Valga maakond,27924,21779,6001,3252,1161,167,80,14,830,18,8,26,59,16,7,144
2024,Mehed ja naised,Viljandi maakond,45543,42566,2844,1046,1112,58,213,7,69,17,6,29,39,12,2,133
2024,Mehed ja naised,Võru maakond,34049,31559,2288,1105,771,30,60,3,89,13,5,11,40,1,2,202
2024,Mehed ja naised,Maakond teadmata,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024,Mehed,Kogu Eesti,651613,444270,201799,133143,30800,4921,4336,948,2324,857,1082,1071,1665,980,1127,5544
2024,Mehed,Harju maakond,305973,181183,121177,75359,19635,3393,2507,652,1124,533,901,707,917,712,894,3613
2024,Mehed,Hiiu maakond,4097,3985,105,20,30,4,11,0,3,1,1,0,2,1,1,7
2024,Mehed,Ida-Viru maakond,60850,12850,47781,41441,2699,972,452,200,184,139,93,155,217,108,74,219
2024,Mehed,Jõgeva maakond,13084,11740,1280,776,311,21,52,3,18,1,3,7,19,9,1,64
2024,Mehed,Järva maakond,14381,13199,1082,283,537,25,92,2,17,8,1,5,15,9,1,100
2024,Mehed,Lääne maakond,9698,8480,1142,625,269,23,49,5,12,3,1,15,26,1,1,76
2024,Mehed,Lääne-Viru maakond,28476,24405,3844,2189,1017,77,168,8,47,22,9,31,36,10,20,227
2024,Mehed,Põlva maakond,11614,10922,658,361,181,3,28,5,15,2,0,3,16,1,3,34
2024,Mehed,Pärnu maakond,41313,36012,5020,2305,1533,103,278,21,138,44,9,41,74,26,11,281
2024,Mehed,Rapla maakond,16696,15400,1189,492,391,40,57,5,28,8,1,7,23,6,8,107
2024,Mehed,Saare maakond,15274,14571,586,78,271,2,86,2,4,7,0,3,30,0,1,117
2024,Mehed,Tartu maakond,78398,65202,12792,6827,2627,149,395,37,176,69,50,72,221,82,104,404
2024,Mehed,Valga maakond,13446,10526,2830,1449,527,76,35,6,462,9,6,10,27,7,4,90
2024,Mehed,Viljandi maakond,21827,20442,1290,443,485,23,94,1,33,5,3,10,21,7,2,95
2024,Mehed,Võru maakond,16486,15353,1023,495,287,10,32,1,63,6,4,5,21,1,2,110
2024,Mehed,Maakond teadmata,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024,Naised,Kogu Eesti,723074,487723,232215,163125,37970,6481,4008,1074,1908,1025,931,1075,1258,824,648,3136
2024,Naised,Harju maakond,340342,203188,135226,92185,23074,4101,1800,695,935,613,807,709,657,629,520,1928
2024,Naised,Hiiu maakond,4321,4232,88,25,27,1,6,0,4,2,0,1,3,0,0,1
2024,Naised,Ida-Viru maakond,71436,12995,58379,50649,3651,1573,552,252,137,204,49,130,169,87,42,62
2024,Naised,Jõgeva maakond,14313,12694,1585,952,449,33,51,9,15,2,1,8,7,3,0,34
2024,Naised,Järva maakond,15703,14420,1229,372,649,18,90,3,12,8,1,5,10,3,5,54
2024,Naised,Lääne maakond,10927,9386,1453,820,427,47,41,16,17,4,1,13,7,0,0,88
2024,Naised,Lääne-Viru maakond,31060,26108,4804,2762,1363,143,217,15,29,23,2,33,19,9,8,148
2024,Naised,Põlva maakond,12278,11474,787,415,283,6,22,4,9,1,0,2,9,1,1,17
2024,Naised,Pärnu maakond,46578,40368,5941,3026,1992,133,211,27,116,34,12,34,72,18,2,269
2024,Naised,Rapla maakond,17550,16164,1318,559,464,39,74,8,19,6,4,9,30,6,11,68
2024,Naised,Saare maakond,16747,15908,674,112,400,9,58,2,11,5,2,9,20,0,1,165
2024,Naised,Tartu maakond,86062,71203,14741,8232,3446,232,694,27,174,95,46,81,186,54,55,118
2024,Naised,Valga maakond,14478,11253,3171,1803,634,91,45,8,368,9,2,16,32,9,3,54
2024,Naised,Viljandi maakond,23716,22124,1554,603,627,35,119,6,36,12,3,19,18,5,0,38
2024,Naised,Võru maakond,17563,16206,1265,610,484,20,28,2,26,7,1,6,19,0,0,92
2024,Naised,Maakond teadmata,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
