Aasta,Sugu,Maakond,Rahvused kokku,Eestlased,Muud rahvused,Venelased,Ukrainlased,Valgevenelased,Soomlased,Tatarlased,LÃ¤tlased,Poolakad,Juudid,Leedulased,Sakslased,Armeenlased,AserbaidÅ¾aanid,Rahvus teadmata
2018,Mehed ja naised,..Tallinn,430805,228494,191397,157267,12514,6019,2335,1026,864,795,1468,941,757,962,708,10914
2018,Mehed ja naised,..Tartu linn,96506,76795,19159,13604,949,333,917,54,228,143,84,135,442,110,63,552
2018,Mehed,..Tallinn,194273,100040,87111,69784,6156,2617,1221,460,404,345,744,432,436,517,425,7122
2018,Mehed,..Tartu linn,43319,34276,8762,6070,469,128,322,33,111,50,44,59,209,59,38,281
2018,Naised,..Tallinn,236532,128454,104286,87483,6358,3402,1114,566,460,450,724,509,321,445,283,3792
2018,Naised,..Tartu linn,53187,42519,10397,7534,480,205,595,21,117,93,40,76,233,51,25,271
2019,Mehed ja naised,..Tallinn,434562,228821,193087,157696,12717,5983,2449,1020,951,778,1450,985,783,983,752,12654
2019,Mehed ja naised,..Tartu linn,96974,76846,19396,13458,990,337,935,55,252,143,83,140,472,114,91,732
2019,Mehed,..Tallinn,196700,100331,88144,69980,6291,2587,1322,457,452,345,743,463,446,521,456,8225
2019,Mehed,..Tartu linn,43709,34379,8966,6039,496,126,338,33,137,47,44,61,220,61,58,364
2019,Naised,..Tallinn,237862,128490,104943,87716,6426,3396,1127,563,499,433,707,522,337,462,296,4429
2019,Naised,..Tartu linn,53265,42467,10430,7419,494,211,597,22,115,96,39,79,252,53,33,368
2020,Mehed ja naised,..Tallinn,437619,228845,199685,158588,13559,6021,2998,1034,1255,851,1419,1052,1034,997,825,9089
2020,Mehed ja naised,..Tartu linn,96123,76692,19036,13249,1010,318,940,50,291,134,77,131,344,118,100,395
2020,Mehed,..Tallinn,199052,100695,92369,70549,6860,2642,1655,470,641,381,715,504,562,521,502,5988
2020,Mehed,..Tartu linn,43353,34289,8834,5914,500,119,346,31,171,51,43,67,166,66,61,230
2020,Naised,..Tallinn,238567,128150,107316,88039,6699,3379,1343,564,614,470,704,548,472,476,323,3101
2020,Naised,..Tartu linn,52770,42403,10202,7335,510,199,594,19,120,83,34,64,178,52,39,165
2021,Mehed ja naised,..Tallinn,438341,231228,203478,156670,15265,6059,3256,1055,1343,896,1421,1073,1154,1010,946,3635
2021,Mehed ja naised,..Tartu linn,95430,76614,18684,12805,1067,318,914,50,285,119,87,114,302,109,122,132
2021,Mehed,..Tallinn,199669,101936,95235,69548,8104,2667,1840,482,712,414,720,519,618,540,575,2498
2021,Mehed,..Tartu linn,43085,34278,8727,5712,536,117,322,31,157,43,48,57,150,63,80,80
2021,Naised,..Tallinn,238672,129292,108243,87122,7161,3392,1416,573,631,482,701,554,536,470,371,1137
2021,Naised,..Tartu linn,52345,42336,9957,7093,531,201,592,19,128,76,39,57,152,46,42,52
2022,Mehed ja naised,..Tallinn,437811,233518,199975,149878,15449,6153,3431,1033,1500,940,1405,1092,1219,1043,1029,4318
2022,Mehed ja naised,..Tartu linn,98312,79131,18923,12582,1128,308,910,48,270,136,82,111,308,122,168,258
2022,Mehed,..Tallinn,205056,106726,95104,67208,8239,2758,1984,481,804,438,718,540,692,556,628,3226
2022,Mehed,..Tartu linn,46160,36929,9037,5727,582,113,314,27,145,55,44,50,163,70,113,194
2022,Naised,..Tallinn,232755,126792,104871,82670,7210,3395,1447,552,696,502,687,552,527,487,401,1092
2022,Naised,..Tartu linn,52152,42202,9886,6855,546,195,596,21,125,81,38,61,145,52,55,64
2023,Mehed ja naised,..Tallinn,453864,235633,212387,145495,28775,6218,3520,1046,1638,973,1469,1121,1319,1136,1187,5844
2023,Mehed ja naised,..Tartu linn,100724,79134,21179,12053,3640,313,904,52,284,148,82,113,334,122,154,411
2023,Mehed,..Tallinn,211744,108025,99893,65194,13030,2802,2048,491,898,460,765,556,747,591,738,3826
2023,Mehed,..Tartu linn,47146,36919,9895,5471,1550,121,304,29,151,62,42,48,177,74,102,332
2023,Naised,..Tallinn,242120,127608,112494,80301,15745,3416,1472,555,740,513,704,565,572,545,449,2018
2023,Naised,..Tartu linn,53578,42215,11284,6582,2090,192,600,23,133,86,40,65,157,48,52,79
2024,Mehed ja naised,..Tallinn,457572,237832,215122,139835,35355,6178,3504,1047,1702,940,1514,1102,1288,1174,1260,4618
2024,Mehed ja naised,..Tartu linn,101032,78890,21771,11317,4918,307,871,54,293,143,79,123,347,123,156,371
2024,Mehed,..Tallinn,213623,109183,101445,62500,16190,2793,2074,503,946,443,789,557,748,617,791,2995
2024,Mehed,..Tartu linn,47190,36817,10081,5070,2138,119,295,31,147,59,42,56,184,73,101,292
2024,Naised,..Tallinn,243949,128649,113677,77335,19165,3385,1430,544,756,497,725,545,540,557,469,1623
2024,Naised,..Tartu linn,53842,42073,11690,6247,2780,188,576,23,146,84,37,67,163,50,55,79
