"Aasta","Sugu","Maakond","Rahvused kokku","Eestlased","Venelased","Muud rahvused","..ukrainlased","..valgevenelased","..soomlased","..tatarlased","..lätlased","..poolakad","..juudid","..leedulased","..sakslased","..armeenlased","..aserbaidžaanid","Rahvus teadmata"
"2018","Mehed ja naised","Kogu Eesti",1319133,905677,328864,69678,23310,11598,7635,1926,2478,1694,1950,1928,2178,1566,1096,14914
"2018","Mehed ja naised","Harju maakond",589610,352939,183276,41445,15285,7249,3066,1275,1069,994,1639,1201,934,1126,840,11950
"2018","Mehed ja naised","..Tallinn",430805,228494,157267,34130,12514,6019,2335,1026,864,795,1468,941,757,962,708,10914
"2018","Mehed ja naised","Hiiu maakond",9387,9210,61,84,17,9,15,0,6,1,1,2,7,0,0,32
"2018","Mehed ja naised","Ida-Viru maakond",138266,24333,102652,10898,3273,2930,1178,441,255,327,122,252,351,194,111,383
"2018","Mehed ja naised","Jõgeva maakond",29119,26400,2182,475,151,61,132,10,20,4,2,16,18,8,0,62
"2018","Mehed ja naised","Järva maakond",30661,29056,757,765,305,33,195,5,25,32,3,13,35,15,8,83
"2018","Mehed ja naised","Lääne maakond",20646,18165,1722,616,219,80,73,22,26,7,4,29,25,2,2,143
"2018","Mehed ja naised","Lääne-Viru maakond",59791,51699,5906,1976,703,246,475,18,46,49,15,73,51,23,29,210
"2018","Mehed ja naised","Põlva maakond",25290,24110,815,323,136,14,57,4,12,7,4,5,9,2,4,42
"2018","Mehed ja naised","Pärnu maakond",85756,76702,6165,2353,857,213,430,47,145,48,20,76,105,33,14,536
"2018","Mehed ja naised","Rapla maakond",33299,31363,1093,742,210,69,188,11,21,10,2,14,48,3,14,101
"2018","Mehed ja naised","Saare maakond",33231,32535,264,312,70,16,107,0,13,8,2,11,17,0,1,120
"2018","Mehed ja naised","Tartu maakond",151122,126395,17533,6514,1246,389,1153,63,265,156,104,160,485,122,66,680
"2018","Mehed ja naised","..Tartu linn",96506,76795,13604,5555,949,333,917,54,228,143,84,135,442,110,63,552
"2018","Mehed ja naised","Valga maakond",28669,23143,3637,1658,453,181,97,16,483,24,9,36,46,22,3,231
"2018","Mehed ja naised","Viljandi maakond",46782,44671,1144,873,239,61,242,10,46,19,8,32,29,11,1,94
"2018","Mehed ja naised","Võru maakond",36133,34206,1411,411,123,39,61,2,44,5,5,8,15,4,2,105
"2018","Mehed ja naised","Maakond teadmata",1371,750,246,233,23,8,166,2,2,3,10,0,3,1,1,142
"2018","Mehed","Kogu Eesti",621084,428497,148199,34523,11284,4853,3596,858,1217,714,1030,913,1162,874,679,9865
"2018","Mehed","Harju maakond",272813,161607,82147,21168,7600,3155,1588,577,508,425,855,568,538,619,509,7891
"2018","Mehed","..Tallinn",194273,100040,69784,17327,6156,2617,1221,460,404,345,744,432,436,517,425,7122
"2018","Mehed","Hiiu maakond",4770,4669,25,52,11,8,8,0,2,0,0,0,3,0,0,24
"2018","Mehed","Ida-Viru maakond",63668,12001,46490,4882,1385,1140,530,192,137,141,72,138,171,114,77,295
"2018","Mehed","Jõgeva maakond",14188,12881,1043,217,65,23,65,4,8,3,2,7,11,5,0,47
"2018","Mehed","Järva maakond",14925,14133,327,404,157,16,96,1,17,20,2,6,20,11,2,61
"2018","Mehed","Lääne maakond",9974,8778,791,312,94,29,39,7,15,3,2,16,19,1,2,93
"2018","Mehed","Lääne-Viru maakond",28863,25106,2698,913,320,92,204,4,23,19,11,34,28,13,23,146
"2018","Mehed","Põlva maakond",12651,12071,385,172,70,4,28,1,7,5,2,3,5,2,3,23
"2018","Mehed","Pärnu maakond",40573,36270,2763,1142,404,90,227,20,63,15,10,35,47,21,11,398
"2018","Mehed","Rapla maakond",16538,15564,530,365,110,24,88,5,9,4,0,6,23,3,5,79
"2018","Mehed","Saare maakond",16373,15992,123,178,39,6,64,0,4,4,1,4,10,0,0,80
"2018","Mehed","Tartu maakond",70819,59251,8017,3196,624,149,436,38,130,55,51,71,240,66,41,355
"2018","Mehed","..Tartu linn",43319,34276,6070,2692,469,128,322,33,111,50,44,59,209,59,38,281
"2018","Mehed","Valga maakond",13942,11316,1651,817,224,75,51,5,249,9,7,13,24,10,3,158
"2018","Mehed","Viljandi maakond",22600,21628,478,429,110,23,111,3,19,7,6,10,15,6,1,65
"2018","Mehed","Võru maakond",17755,16866,604,216,63,17,26,0,26,2,4,2,6,3,2,69
"2018","Mehed","Maakond teadmata",632,364,127,60,8,2,35,1,0,2,5,0,2,0,0,81
"2018","Naised","Kogu Eesti",698049,477180,180665,35155,12026,6745,4039,1068,1261,980,920,1015,1016,692,417,5049
"2018","Naised","Harju maakond",316797,191332,101129,20277,7685,4094,1478,698,561,569,784,633,396,507,331,4059
"2018","Naised","..Tallinn",236532,128454,87483,16803,6358,3402,1114,566,460,450,724,509,321,445,283,3792
"2018","Naised","Hiiu maakond",4617,4541,36,32,6,1,7,0,4,1,1,2,4,0,0,8
"2018","Naised","Ida-Viru maakond",74598,12332,56162,6016,1888,1790,648,249,118,186,50,114,180,80,34,88
"2018","Naised","Jõgeva maakond",14931,13519,1139,258,86,38,67,6,12,1,0,9,7,3,0,15
"2018","Naised","Järva maakond",15736,14923,430,361,148,17,99,4,8,12,1,7,15,4,6,22
"2018","Naised","Lääne maakond",10672,9387,931,304,125,51,34,15,11,4,2,13,6,1,0,50
"2018","Naised","Lääne-Viru maakond",30928,26593,3208,1063,383,154,271,14,23,30,4,39,23,10,6,64
"2018","Naised","Põlva maakond",12639,12039,430,151,66,10,29,3,5,2,2,2,4,0,1,19
"2018","Naised","Pärnu maakond",45183,40432,3402,1211,453,123,203,27,82,33,10,41,58,12,3,138
"2018","Naised","Rapla maakond",16761,15799,563,377,100,45,100,6,12,6,2,8,25,0,9,22
"2018","Naised","Saare maakond",16858,16543,141,134,31,10,43,0,9,4,1,7,7,0,1,40
"2018","Naised","Tartu maakond",80303,67144,9516,3318,622,240,717,25,135,101,53,89,245,56,25,325
"2018","Naised","..Tartu linn",53187,42519,7534,2863,480,205,595,21,117,93,40,76,233,51,25,271
"2018","Naised","Valga maakond",14727,11827,1986,841,229,106,46,11,234,15,2,23,22,12,0,73
"2018","Naised","Viljandi maakond",24182,23043,666,444,129,38,131,7,27,12,2,22,14,5,0,29
"2018","Naised","Võru maakond",18378,17340,807,195,60,22,35,2,18,3,1,6,9,1,0,36
"2018","Naised","Maakond teadmata",739,386,119,173,15,6,131,1,2,1,5,0,1,1,1,61
"2019","Mehed ja naised","Kogu Eesti",1324820,907628,328299,71483,23665,11506,7636,1929,2693,1653,1921,1979,2238,1583,1168,17410
"2019","Mehed ja naised","Harju maakond",598059,356560,184600,42962,15607,7232,3185,1286,1174,974,1611,1260,971,1145,878,13937
"2019","Mehed ja naised","..Tallinn",434562,228821,157696,35391,12717,5983,2449,1020,951,778,1450,985,783,983,752,12654
"2019","Mehed ja naised","Hiiu maakond",9387,9205,62,87,16,9,16,0,6,1,1,1,10,0,0,33
"2019","Mehed ja naised","Ida-Viru maakond",136240,23852,101248,10764,3243,2865,1141,435,257,320,125,251,342,190,114,376
"2019","Mehed ja naised","Jõgeva maakond",28734,26085,2139,449,146,57,119,10,20,4,1,17,16,9,0,61
"2019","Mehed ja naised","Järva maakond",30286,28661,748,770,321,31,189,5,32,28,3,11,31,16,8,107
"2019","Mehed ja naised","Lääne maakond",20507,18024,1702,627,212,82,72,22,25,7,4,27,27,2,2,154
"2019","Mehed ja naised","Lääne-Viru maakond",59325,51413,5757,1927,691,233,451,18,46,46,15,73,48,21,30,228
"2019","Mehed ja naised","Põlva maakond",25006,23819,826,325,134,13,56,6,15,6,4,3,11,2,4,36
"2019","Mehed ja naised","Pärnu maakond",85938,76861,6057,2346,856,215,402,45,153,50,21,70,110,32,15,674
"2019","Mehed ja naised","Rapla maakond",33311,31342,1118,755,226,64,189,10,24,9,3,15,38,3,15,96
"2019","Mehed ja naised","Saare maakond",33108,32395,250,332,71,15,110,1,15,8,2,12,20,0,1,131
"2019","Mehed ja naised","Tartu maakond",152977,127707,17483,6911,1289,397,1157,64,292,155,99,166,519,126,95,876
"2019","Mehed ja naised","..Tartu linn",96974,76846,13458,5938,990,337,935,55,252,143,83,140,472,114,91,732
"2019","Mehed ja naised","Valga maakond",28370,22842,3606,1695,466,185,91,15,526,20,9,33,48,21,3,227
"2019","Mehed ja naised","Viljandi maakond",46371,44258,1115,888,241,61,245,9,44,16,7,32,30,11,0,110
"2019","Mehed ja naised","Võru maakond",35782,33876,1350,422,124,38,59,1,61,6,5,8,14,3,2,134
"2019","Mehed ja naised","Maakond teadmata",1419,728,238,223,22,9,154,2,3,3,11,0,3,2,1,230
"2019","Mehed","Kogu Eesti",625635,430131,148171,35860,11582,4817,3661,864,1361,696,1026,947,1200,881,728,11473
"2019","Mehed","Harju maakond",278023,163702,82916,22215,7834,3141,1702,589,561,426,848,613,558,626,537,9190
"2019","Mehed","..Tallinn",196700,100331,69980,18164,6291,2587,1322,457,452,345,743,463,446,521,456,8225
"2019","Mehed","Hiiu maakond",4768,4670,22,52,10,8,8,0,1,0,0,0,5,0,0,24
"2019","Mehed","Ida-Viru maakond",62837,11820,45892,4850,1377,1122,514,188,142,137,75,132,167,112,78,275
"2019","Mehed","Jõgeva maakond",13995,12723,1023,202,61,22,60,4,6,2,1,8,10,7,0,47
"2019","Mehed","Järva maakond",14786,13978,323,406,174,14,90,1,21,16,2,6,16,11,2,79
"2019","Mehed","Lääne maakond",9879,8681,779,317,88,28,37,7,14,3,2,15,19,1,2,102
"2019","Mehed","Lääne-Viru maakond",28737,25044,2641,891,312,88,191,4,24,18,11,36,28,12,23,161
"2019","Mehed","Põlva maakond",12526,11938,389,174,70,4,29,1,9,4,2,1,7,2,3,25
"2019","Mehed","Pärnu maakond",40674,36341,2704,1141,409,91,208,19,71,15,10,30,50,21,11,488
"2019","Mehed","Rapla maakond",16566,15569,542,386,129,21,91,4,11,4,1,5,19,3,5,69
"2019","Mehed","Saare maakond",16331,15937,116,194,41,5,69,0,4,4,0,4,13,0,0,84
"2019","Mehed","Tartu maakond",71950,60028,8027,3441,654,152,446,38,155,50,52,73,255,67,62,454
"2019","Mehed","..Tartu linn",43709,34379,6039,2927,496,126,338,33,137,47,44,61,220,61,58,364
"2019","Mehed","Valga maakond",13842,11190,1634,853,231,79,47,6,281,8,7,12,27,10,3,165
"2019","Mehed","Viljandi maakond",22454,21468,464,442,115,22,110,2,19,4,5,10,17,6,0,80
"2019","Mehed","Võru maakond",17587,16694,572,234,66,17,25,0,42,3,4,2,7,3,2,87
"2019","Mehed","Maakond teadmata",680,348,127,62,11,3,34,1,0,2,6,0,2,0,0,143
"2019","Naised","Kogu Eesti",699185,477497,180128,35623,12083,6689,3975,1065,1332,957,895,1032,1038,702,440,5937
"2019","Naised","Harju maakond",320036,192858,101684,20747,7773,4091,1483,697,613,548,763,647,413,519,341,4747
"2019","Naised","..Tallinn",237862,128490,87716,17227,6426,3396,1127,563,499,433,707,522,337,462,296,4429
"2019","Naised","Hiiu maakond",4619,4535,40,35,6,1,8,0,5,1,1,1,5,0,0,9
"2019","Naised","Ida-Viru maakond",73403,12032,55356,5914,1866,1743,627,247,115,183,50,119,175,78,36,101
"2019","Naised","Jõgeva maakond",14739,13362,1116,247,85,35,59,6,14,2,0,9,6,2,0,14
"2019","Naised","Järva maakond",15500,14683,425,364,147,17,99,4,11,12,1,5,15,5,6,28
"2019","Naised","Lääne maakond",10628,9343,923,310,124,54,35,15,11,4,2,12,8,1,0,52
"2019","Naised","Lääne-Viru maakond",30588,26369,3116,1036,379,145,260,14,22,28,4,37,20,9,7,67
"2019","Naised","Põlva maakond",12480,11881,437,151,64,9,27,5,6,2,2,2,4,0,1,11
"2019","Naised","Pärnu maakond",45264,40520,3353,1205,447,124,194,26,82,35,11,40,60,11,4,186
"2019","Naised","Rapla maakond",16745,15773,576,369,97,43,98,6,13,5,2,10,19,0,10,27
"2019","Naised","Saare maakond",16777,16458,134,138,30,10,41,1,11,4,2,8,7,0,1,47
"2019","Naised","Tartu maakond",81027,67679,9456,3470,635,245,711,26,137,105,47,93,264,59,33,422
"2019","Naised","..Tartu linn",53265,42467,7419,3011,494,211,597,22,115,96,39,79,252,53,33,368
"2019","Naised","Valga maakond",14528,11652,1972,842,235,106,44,9,245,12,2,21,21,11,0,62
"2019","Naised","Viljandi maakond",23917,22790,651,446,126,39,135,7,25,12,2,22,13,5,0,30
"2019","Naised","Võru maakond",18195,17182,778,188,58,21,34,1,19,3,1,6,7,0,0,47
"2019","Naised","Maakond teadmata",739,380,111,161,11,6,120,1,3,1,5,0,1,2,1,87
"2020","Mehed ja naised","Kogu Eesti",1328889,909552,327802,78387,24897,11536,8297,1948,3329,1744,1879,2068,2438,1608,1280,13148
"2020","Mehed ja naised","Harju maakond",605029,359759,186031,49114,16587,7288,3754,1304,1490,1050,1579,1354,1237,1159,969,10125
"2020","Mehed ja naised","..Tallinn",437619,228845,158588,41097,13559,6021,2998,1034,1255,851,1419,1052,1034,997,825,9089
"2020","Mehed ja naised","Hiiu maakond",9315,9145,59,93,15,8,20,0,7,1,2,1,10,0,0,18
"2020","Mehed ja naised","Ida-Viru maakond",134259,23473,99811,10684,3212,2834,1111,436,251,338,122,248,346,191,122,291
"2020","Mehed ja naised","Jõgeva maakond",28442,25832,2087,482,158,54,112,10,35,4,2,17,19,10,0,41
"2020","Mehed ja naised","Järva maakond",30174,28503,749,849,369,43,193,5,33,26,3,10,28,13,11,73
"2020","Mehed ja naised","Lääne maakond",20444,18040,1666,641,209,80,87,20,27,8,4,27,30,0,2,97
"2020","Mehed ja naised","Lääne-Viru maakond",58862,51093,5663,1942,691,225,454,22,58,39,12,70,56,24,28,164
"2020","Mehed ja naised","Põlva maakond",24647,23496,808,307,133,11,51,5,16,6,2,4,16,1,4,36
"2020","Mehed ja naised","Pärnu maakond",86185,76926,5999,2835,1031,224,518,48,233,53,23,80,119,44,15,425
"2020","Mehed ja naised","Rapla maakond",33282,31316,1120,747,231,77,171,10,26,8,3,16,35,5,16,99
"2020","Mehed ja naised","Saare maakond",33083,32363,251,387,72,14,137,1,16,11,2,13,27,0,1,82
"2020","Mehed ja naised","Tartu maakond",153317,128643,17311,6837,1332,384,1169,60,339,146,99,157,397,129,105,526
"2020","Mehed ja naised","..Tartu linn",96123,76692,13249,5787,1010,318,940,50,291,134,77,131,344,118,100,395
"2020","Mehed ja naised","Valga maakond",28204,22649,3584,1827,469,180,90,13,619,24,7,31,53,17,3,144
"2020","Mehed ja naised","Viljandi maakond",46161,44044,1126,921,248,66,240,7,74,20,5,28,38,11,0,70
"2020","Mehed ja naised","Võru maakond",35415,33553,1304,463,116,39,60,4,78,6,5,8,23,3,1,95
"2020","Mehed ja naised","Maakond teadmata",2070,717,233,258,24,9,130,3,27,4,9,4,4,1,3,862
"2020","Mehed","Kogu Eesti",629246,431673,148155,40518,12428,4892,4125,888,1764,752,1000,1017,1301,895,793,8900
"2020","Mehed","Harju maakond",282349,165615,83781,26187,8500,3212,2054,604,755,467,823,668,681,629,595,6766
"2020","Mehed","..Tallinn",199052,100695,70549,21820,6860,2642,1655,470,641,381,715,504,562,521,502,5988
"2020","Mehed","Hiiu maakond",4740,4646,24,57,11,7,11,0,2,0,1,0,4,0,0,13
"2020","Mehed","Ida-Viru maakond",61879,11627,45217,4816,1374,1102,501,193,128,142,75,129,172,113,81,219
"2020","Mehed","Jõgeva maakond",13899,12643,1000,223,65,21,58,4,14,1,1,9,12,8,0,33
"2020","Mehed","Järva maakond",14761,13907,336,462,212,26,93,1,20,14,2,5,15,9,2,56
"2020","Mehed","Lääne maakond",9849,8700,759,326,84,28,44,6,14,4,2,15,23,0,2,64
"2020","Mehed","Lääne-Viru maakond",28578,24943,2595,919,315,88,200,8,34,16,9,36,29,14,21,121
"2020","Mehed","Põlva maakond",12321,11751,377,167,69,4,27,0,9,4,1,1,11,1,3,26
"2020","Mehed","Pärnu maakond",40886,36386,2683,1492,533,102,296,21,117,20,11,39,53,29,12,325
"2020","Mehed","Rapla maakond",16581,15577,541,388,132,34,79,4,13,3,1,7,16,5,5,75
"2020","Mehed","Saare maakond",16364,15960,117,232,41,5,87,0,5,6,0,4,18,0,0,55
"2020","Mehed","Tartu maakond",72201,60490,7915,3478,669,146,458,37,194,54,54,79,203,71,66,318
"2020","Mehed","..Tartu linn",43353,34289,5914,2920,500,119,346,31,171,51,43,67,166,66,61,230
"2020","Mehed","Valga maakond",13843,11169,1632,940,233,73,48,6,345,11,6,11,29,7,3,102
"2020","Mehed","Viljandi maakond",22384,21374,480,473,118,25,109,1,43,5,4,9,21,6,0,57
"2020","Mehed","Võru maakond",17458,16556,574,260,61,16,28,2,55,3,4,2,11,3,1,68
"2020","Mehed","Maakond teadmata",1153,329,124,98,11,3,32,1,16,2,6,3,3,0,2,602
"2020","Naised","Kogu Eesti",699643,477879,179647,37869,12469,6644,4172,1060,1565,992,879,1051,1137,713,487,4248
"2020","Naised","Harju maakond",322680,194144,102250,22927,8087,4076,1700,700,735,583,756,686,556,530,374,3359
"2020","Naised","..Tallinn",238567,128150,88039,19277,6699,3379,1343,564,614,470,704,548,472,476,323,3101
"2020","Naised","Hiiu maakond",4575,4499,35,36,4,1,9,0,5,1,1,1,6,0,0,5
"2020","Naised","Ida-Viru maakond",72380,11846,54594,5868,1838,1732,610,243,123,196,47,119,174,78,41,72
"2020","Naised","Jõgeva maakond",14543,13189,1087,259,93,33,54,6,21,3,1,8,7,2,0,8
"2020","Naised","Järva maakond",15413,14596,413,387,157,17,100,4,13,12,1,5,13,4,9,17
"2020","Naised","Lääne maakond",10595,9340,907,315,125,52,43,14,13,4,2,12,7,0,0,33
"2020","Naised","Lääne-Viru maakond",30284,26150,3068,1023,376,137,254,14,24,23,3,34,27,10,7,43
"2020","Naised","Põlva maakond",12326,11745,431,140,64,7,24,5,7,2,1,3,5,0,1,10
"2020","Naised","Pärnu maakond",45299,40540,3316,1343,498,122,222,27,116,33,12,41,66,15,3,100
"2020","Naised","Rapla maakond",16701,15739,579,359,99,43,92,6,13,5,2,9,19,0,11,24
"2020","Naised","Saare maakond",16719,16403,134,155,31,9,50,1,11,5,2,9,9,0,1,27
"2020","Naised","Tartu maakond",81116,68153,9396,3359,663,238,711,23,145,92,45,78,194,58,39,208
"2020","Naised","..Tartu linn",52770,42403,7335,2867,510,199,594,19,120,83,34,64,178,52,39,165
"2020","Naised","Valga maakond",14361,11480,1952,887,236,107,42,7,274,13,1,20,24,10,0,42
"2020","Naised","Viljandi maakond",23777,22670,646,448,130,41,131,6,31,15,1,19,17,5,0,13
"2020","Naised","Võru maakond",17957,16997,730,203,55,23,32,2,23,3,1,6,12,0,0,27
"2020","Naised","Maakond teadmata",917,388,109,160,13,6,98,2,11,2,3,1,1,1,1,260
"2021","Mehed ja naised","Kogu Eesti",1330068,914896,322700,85333,27254,11485,8479,1937,3572,1745,1898,2057,2570,1599,1408,7139
"2021","Mehed ja naised","Harju maakond",609515,365793,184175,55444,18557,7362,4038,1330,1625,1101,1584,1359,1365,1171,1084,4103
"2021","Mehed ja naised","..Tallinn",438341,231228,156670,46808,15265,6059,3256,1055,1343,896,1421,1073,1154,1010,946,3635
"2021","Mehed ja naised","Hiiu maakond",9381,9210,61,101,17,6,20,0,8,1,3,0,11,0,0,9
"2021","Mehed ja naised","Ida-Viru maakond",131913,23551,97785,10461,3223,2687,1058,405,267,307,131,246,340,182,121,116
"2021","Mehed ja naised","Jõgeva maakond",28082,25540,2030,498,168,52,114,11,29,3,1,18,23,9,1,14
"2021","Mehed ja naised","Järva maakond",29817,28198,724,866,384,47,196,2,31,22,3,10,27,14,8,29
"2021","Mehed ja naised","Lääne maakond",20285,17972,1613,635,196,78,88,20,27,8,4,26,31,0,1,65
"2021","Mehed ja naised","Lääne-Viru maakond",58402,50964,5389,1995,728,221,423,20,67,37,11,66,53,22,29,54
"2021","Mehed ja naised","Põlva maakond",24473,23339,784,336,133,13,54,5,23,5,2,4,22,1,4,14
"2021","Mehed ja naised","Pärnu maakond",85760,76714,5847,3073,1144,247,535,45,234,52,20,78,127,43,13,126
"2021","Mehed ja naised","Rapla maakond",33116,31190,1098,788,231,91,165,9,34,7,3,16,49,6,15,40
"2021","Mehed ja naised","Saare maakond",33032,32342,226,444,82,13,150,2,16,11,2,14,35,0,1,20
"2021","Mehed ja naised","Tartu maakond",153912,129979,16776,6986,1425,387,1132,62,329,131,108,141,361,120,126,171
"2021","Mehed ja naised","..Tartu linn",95430,76614,12805,5879,1067,318,914,50,285,119,87,114,302,109,122,132
"2021","Mehed ja naised","Valga maakond",27962,22449,3550,1872,456,171,86,13,688,21,8,31,54,16,2,91
"2021","Mehed ja naised","Viljandi maakond",45877,43795,1091,952,287,61,233,9,79,22,6,31,37,10,1,39
"2021","Mehed ja naised","Võru maakond",34898,33110,1262,491,134,36,65,1,71,12,4,9,26,4,1,35
"2021","Mehed ja naised","Maakond teadmata",3643,750,289,391,89,13,122,3,44,5,8,8,9,1,1,2213
"2021","Mehed","Kogu Eesti",630915,434671,145769,45384,14160,4918,4302,876,1918,771,1010,1014,1374,896,879,5091
"2021","Mehed","Harju maakond",284994,168765,82870,30498,9947,3274,2266,617,854,507,822,670,738,648,666,2861
"2021","Mehed","..Tallinn",199669,101936,69548,25687,8104,2667,1840,482,712,414,720,519,618,540,575,2498
"2021","Mehed","Hiiu maakond",4803,4705,26,65,11,5,13,0,3,0,2,0,5,0,0,7
"2021","Mehed","Ida-Viru maakond",60785,11711,44280,4707,1372,1048,467,175,142,127,82,126,172,101,81,87
